,FECHA,TMAX,TMIN,T_AVE,NOMBRE
1823,Mar-22,30.1,18.1,24.1,NUEVE DE JULIO
1459,Mar-22,28.8,19.5,24.15,MORON AERO
1094,Mar-22,28.9,15.0,21.95,EL PALOMAR AERO
729,Mar-22,28.7,20.5,24.6,BUENOS AIRES OBSERVATORIO
364,Mar-22,27.6,19.8,23.700000000000003,AEROPARQUE AERO
1822,Mar-22,30.8,15.6,23.2,NUEVE DE JULIO
1458,Mar-22,30.9,19.4,25.15,MORON AERO
1093,Mar-22,31.2,17.8,24.5,EL PALOMAR AERO
728,Mar-22,31.5,21.5,26.5,BUENOS AIRES OBSERVATORIO
363,Mar-22,28.6,21.3,24.950000000000003,AEROPARQUE AERO
1821,Mar-22,21.8,13.4,17.6,NUEVE DE JULIO
1457,Mar-22,25.2,14.7,19.95,MORON AERO
1092,Mar-22,23.0,14.5,18.75,EL PALOMAR AERO
727,Mar-22,25.3,14.9,20.1,BUENOS AIRES OBSERVATORIO
362,Mar-22,26.1,14.3,20.200000000000003,AEROPARQUE AERO
1820,Mar-22,22.0,7.5,14.75,NUEVE DE JULIO
1456,Mar-22,20.5,6.4,13.45,MORON AERO
1091,Mar-22,20.6,5.0,12.8,EL PALOMAR AERO
726,Mar-22,21.7,8.2,14.95,BUENOS AIRES OBSERVATORIO
361,Mar-22,18.9,11.4,15.15,AEROPARQUE AERO
1819,Mar-22,22.5,8.5,15.5,NUEVE DE JULIO
1455,Mar-22,21.6,9.9,15.75,MORON AERO
1090,Mar-22,21.4,7.2,14.3,EL PALOMAR AERO
725,Mar-22,21.5,10.2,15.85,BUENOS AIRES OBSERVATORIO
360,Mar-22,20.6,13.0,16.8,AEROPARQUE AERO
1818,Mar-22,17.9,12.9,15.4,NUEVE DE JULIO
1454,Mar-22,21.8,15.4,18.6,MORON AERO
1089,Mar-22,22.0,15.5,18.75,EL PALOMAR AERO
724,Mar-22,22.4,15.4,18.9,BUENOS AIRES OBSERVATORIO
359,Mar-22,22.5,15.3,18.9,AEROPARQUE AERO
1817,Mar-22,26.5,13.0,19.75,NUEVE DE JULIO
1453,Mar-22,24.0,17.5,20.75,MORON AERO
1088,Mar-22,24.4,17.8,21.1,EL PALOMAR AERO
723,Mar-22,25.5,17.9,21.7,BUENOS AIRES OBSERVATORIO
358,Mar-22,22.8,18.3,20.55,AEROPARQUE AERO
1816,Mar-22,25.4,15.3,20.35,NUEVE DE JULIO
1452,Mar-22,26.5,19.0,22.75,MORON AERO
1087,Mar-22,27.0,18.0,22.5,EL PALOMAR AERO
722,Mar-22,26.2,19.6,22.9,BUENOS AIRES OBSERVATORIO
357,Mar-22,24.3,19.8,22.05,AEROPARQUE AERO
1815,Mar-22,21.6,9.1,15.35,NUEVE DE JULIO
1451,Mar-22,23.2,10.5,16.85,MORON AERO
1086,Mar-22,24.0,10.5,17.25,EL PALOMAR AERO
721,Mar-22,23.2,11.4,17.3,BUENOS AIRES OBSERVATORIO
356,Mar-22,22.7,11.3,17.0,AEROPARQUE AERO
1814,Mar-22,21.8,8.7,15.25,NUEVE DE JULIO
1450,Mar-22,21.8,8.4,15.1,MORON AERO
1085,Mar-22,21.9,9.0,15.45,EL PALOMAR AERO
720,Mar-22,21.4,9.3,15.35,BUENOS AIRES OBSERVATORIO
355,Mar-22,21.5,10.1,15.8,AEROPARQUE AERO
1813,Mar-22,22.7,14.0,18.35,NUEVE DE JULIO
1449,Mar-22,23.4,14.2,18.8,MORON AERO
1084,Mar-22,24.0,15.5,19.75,EL PALOMAR AERO
719,Mar-22,24.7,15.9,20.3,BUENOS AIRES OBSERVATORIO
354,Mar-22,24.3,16.7,20.5,AEROPARQUE AERO
1812,Mar-22,28.8,11.3,20.05,NUEVE DE JULIO
1448,Mar-22,27.7,12.3,20.0,MORON AERO
1083,Mar-22,28.0,8.7,18.35,EL PALOMAR AERO
718,Mar-22,29.0,13.6,21.3,BUENOS AIRES OBSERVATORIO
353,Mar-22,28.6,14.0,21.3,AEROPARQUE AERO
1811,Mar-22,28.6,13.3,20.950000000000003,NUEVE DE JULIO
1447,Mar-22,27.4,15.4,21.4,MORON AERO
1082,Mar-22,28.0,10.2,19.1,EL PALOMAR AERO
717,Mar-22,27.3,14.9,21.1,BUENOS AIRES OBSERVATORIO
352,Mar-22,25.5,16.7,21.1,AEROPARQUE AERO
1810,Mar-22,23.0,14.9,18.95,NUEVE DE JULIO
1446,Mar-22,28.0,16.8,22.4,MORON AERO
1081,Mar-22,28.5,18.0,23.25,EL PALOMAR AERO
716,Mar-22,30.4,19.0,24.7,BUENOS AIRES OBSERVATORIO
351,Mar-22,28.7,19.2,23.95,AEROPARQUE AERO
1809,Mar-22,17.0,5.5,11.25,NUEVE DE JULIO
1445,Mar-22,17.0,6.8,11.9,MORON AERO
1080,Mar-22,18.2,7.0,12.6,EL PALOMAR AERO
715,Mar-22,19.0,8.7,13.85,BUENOS AIRES OBSERVATORIO
350,Mar-22,19.7,9.5,14.6,AEROPARQUE AERO
1808,Mar-22,20.4,4.0,12.2,NUEVE DE JULIO
1444,Mar-22,19.4,4.9,12.15,MORON AERO
1079,Mar-22,19.5,2.5,11.0,EL PALOMAR AERO
714,Mar-22,21.2,7.0,14.1,BUENOS AIRES OBSERVATORIO
349,Mar-22,20.1,9.3,14.7,AEROPARQUE AERO
1807,Apr-22,22.2,5.1,13.65,NUEVE DE JULIO
1443,Apr-22,21.0,6.8,13.9,MORON AERO
1078,Apr-22,21.2,3.0,12.1,EL PALOMAR AERO
713,Apr-22,20.4,8.2,14.3,BUENOS AIRES OBSERVATORIO
348,Apr-22,19.0,11.1,15.05,AEROPARQUE AERO
1806,Apr-22,23.6,7.6,15.6,NUEVE DE JULIO
1442,Apr-22,22.2,9.8,16.0,MORON AERO
1077,Apr-22,22.0,6.0,14.0,EL PALOMAR AERO
712,Apr-22,22.4,12.5,17.45,BUENOS AIRES OBSERVATORIO
347,Apr-22,21.6,14.7,18.15,AEROPARQUE AERO
1805,Apr-22,22.0,10.1,16.05,NUEVE DE JULIO
1441,Apr-22,23.6,15.2,19.4,MORON AERO
1076,Apr-22,23.5,15.0,19.25,EL PALOMAR AERO
711,Apr-22,24.5,16.3,20.4,BUENOS AIRES OBSERVATORIO
346,Apr-22,24.1,16.6,20.35,AEROPARQUE AERO
1804,Apr-22,24.0,4.8,14.4,NUEVE DE JULIO
1440,Apr-22,22.5,5.5,14.0,MORON AERO
1075,Apr-22,22.5,3.2,12.85,EL PALOMAR AERO
710,Apr-22,23.0,7.6,15.3,BUENOS AIRES OBSERVATORIO
345,Apr-22,20.1,11.8,15.95,AEROPARQUE AERO
1803,Apr-22,27.9,8.6,18.25,NUEVE DE JULIO
1439,Apr-22,24.8,7.4,16.1,MORON AERO
1074,Apr-22,25.0,3.5,14.25,EL PALOMAR AERO
709,Apr-22,24.0,8.9,16.45,BUENOS AIRES OBSERVATORIO
344,Apr-22,22.1,11.2,16.65,AEROPARQUE AERO
1802,Apr-22,28.3,10.5,19.4,NUEVE DE JULIO
1438,Apr-22,27.0,11.5,19.25,MORON AERO
1073,Apr-22,27.5,7.5,17.5,EL PALOMAR AERO
708,Apr-22,26.6,13.0,19.8,BUENOS AIRES OBSERVATORIO
343,Apr-22,24.8,15.2,20.0,AEROPARQUE AERO
1801,Apr-22,29.4,14.4,21.9,NUEVE DE JULIO
1437,Apr-22,26.4,14.2,20.3,MORON AERO
1072,Apr-22,26.5,11.5,19.0,EL PALOMAR AERO
707,Apr-22,26.7,15.7,21.2,BUENOS AIRES OBSERVATORIO
342,Apr-22,24.1,17.6,20.85,AEROPARQUE AERO
1800,Apr-22,24.0,14.0,19.0,NUEVE DE JULIO
1436,Apr-22,25.0,17.5,21.25,MORON AERO
1071,Apr-22,25.0,17.6,21.3,EL PALOMAR AERO
706,Apr-22,25.5,18.0,21.75,BUENOS AIRES OBSERVATORIO
341,Apr-22,22.6,18.1,20.35,AEROPARQUE AERO
1799,Apr-22,27.9,13.4,20.65,NUEVE DE JULIO
1435,Apr-22,27.4,14.7,21.05,MORON AERO
1070,Apr-22,26.5,12.4,19.45,EL PALOMAR AERO
705,Apr-22,25.4,15.9,20.65,BUENOS AIRES OBSERVATORIO
340,Apr-22,22.2,17.4,19.8,AEROPARQUE AERO
1798,Apr-22,22.3,14.1,18.2,NUEVE DE JULIO
1434,Apr-22,27.2,16.9,22.05,MORON AERO
1069,Apr-22,27.2,15.0,21.1,EL PALOMAR AERO
704,Apr-22,26.6,19.0,22.8,BUENOS AIRES OBSERVATORIO
339,Apr-22,25.6,19.6,22.6,AEROPARQUE AERO
1797,Apr-22,20.0,13.6,16.8,NUEVE DE JULIO
1433,Apr-22,24.0,15.4,19.7,MORON AERO
1068,Apr-22,24.0,16.0,20.0,EL PALOMAR AERO
703,Apr-22,25.2,16.9,21.05,BUENOS AIRES OBSERVATORIO
338,Apr-22,24.7,17.0,20.85,AEROPARQUE AERO
1796,Apr-22,20.1,9.0,14.55,NUEVE DE JULIO
1432,Apr-22,21.2,10.3,15.75,MORON AERO
1067,Apr-22,21.5,7.5,14.5,EL PALOMAR AERO
702,Apr-22,23.2,11.7,17.45,BUENOS AIRES OBSERVATORIO
337,Apr-22,22.6,13.1,17.85,AEROPARQUE AERO
1795,Apr-22,22.3,5.1,13.7,NUEVE DE JULIO
1431,Apr-22,20.7,7.2,13.95,MORON AERO
1066,Apr-22,20.5,5.7,13.1,EL PALOMAR AERO
701,Apr-22,21.5,9.1,15.3,BUENOS AIRES OBSERVATORIO
336,Apr-22,21.2,11.3,16.25,AEROPARQUE AERO
1794,Apr-22,21.9,7.6,14.75,NUEVE DE JULIO
1430,Apr-22,21.0,6.5,13.75,MORON AERO
1065,Apr-22,21.1,5.4,13.25,EL PALOMAR AERO
700,Apr-22,22.2,9.6,15.9,BUENOS AIRES OBSERVATORIO
335,Apr-22,19.8,12.4,16.1,AEROPARQUE AERO
1793,Apr-22,22.5,6.9,14.7,NUEVE DE JULIO
1429,Apr-22,21.2,9.4,15.3,MORON AERO
1064,Apr-22,19.5,6.5,13.0,EL PALOMAR AERO
699,Apr-22,19.7,9.8,14.75,BUENOS AIRES OBSERVATORIO
334,Apr-22,18.1,13.2,15.65,AEROPARQUE AERO
1792,Apr-22,23.3,7.5,15.4,NUEVE DE JULIO
1428,Apr-22,23.0,9.2,16.1,MORON AERO
1063,Apr-22,23.7,7.2,15.45,EL PALOMAR AERO
698,Apr-22,23.1,13.6,18.35,BUENOS AIRES OBSERVATORIO
333,Apr-22,21.1,15.8,18.450000000000003,AEROPARQUE AERO
1791,Apr-22,22.6,10.1,16.35,NUEVE DE JULIO
1427,Apr-22,23.2,15.9,19.55,MORON AERO
1062,Apr-22,22.1,12.4,17.25,EL PALOMAR AERO
697,Apr-22,21.9,17.0,19.45,BUENOS AIRES OBSERVATORIO
332,Apr-22,21.6,17.6,19.6,AEROPARQUE AERO
1790,Apr-22,24.7,10.5,17.6,NUEVE DE JULIO
1426,Apr-22,24.2,16.9,20.55,MORON AERO
1061,Apr-22,23.6,14.2,18.9,EL PALOMAR AERO
696,Apr-22,23.9,17.0,20.45,BUENOS AIRES OBSERVATORIO
331,Apr-22,21.7,17.2,19.45,AEROPARQUE AERO
1789,Apr-22,25.6,10.4,18.0,NUEVE DE JULIO
1425,Apr-22,26.0,11.5,18.75,MORON AERO
1060,Apr-22,26.0,9.5,17.75,EL PALOMAR AERO
695,Apr-22,25.1,14.4,19.75,BUENOS AIRES OBSERVATORIO
330,Apr-22,24.0,17.5,20.75,AEROPARQUE AERO
1788,Apr-22,25.0,12.1,18.55,NUEVE DE JULIO
1424,Apr-22,26.8,13.7,20.25,MORON AERO
1059,Apr-22,26.5,9.2,17.85,EL PALOMAR AERO
694,Apr-22,26.5,13.5,20.0,BUENOS AIRES OBSERVATORIO
329,Apr-22,24.5,16.2,20.35,AEROPARQUE AERO
1787,Apr-22,21.7,8.3,15.0,NUEVE DE JULIO
1423,Apr-22,22.0,11.1,16.55,MORON AERO
1058,Apr-22,22.0,12.0,17.0,EL PALOMAR AERO
693,Apr-22,22.6,13.0,17.8,BUENOS AIRES OBSERVATORIO
328,Apr-22,22.6,13.8,18.200000000000003,AEROPARQUE AERO
1786,Apr-22,19.4,11.6,15.5,NUEVE DE JULIO
1422,Apr-22,17.5,11.3,14.4,MORON AERO
1057,Apr-22,17.2,11.0,14.1,EL PALOMAR AERO
692,Apr-22,18.3,13.3,15.8,BUENOS AIRES OBSERVATORIO
327,Apr-22,19.1,13.8,16.450000000000003,AEROPARQUE AERO
1785,Apr-22,25.4,6.0,15.7,NUEVE DE JULIO
1421,Apr-22,22.0,6.0,14.0,MORON AERO
1056,Apr-22,21.8,2.0,11.9,EL PALOMAR AERO
691,Apr-22,21.9,7.4,14.65,BUENOS AIRES OBSERVATORIO
326,Apr-22,21.1,9.3,15.2,AEROPARQUE AERO
1784,Apr-22,27.2,12.2,19.7,NUEVE DE JULIO
1420,Apr-22,24.8,12.4,18.6,MORON AERO
1055,Apr-22,25.2,12.0,18.6,EL PALOMAR AERO
690,Apr-22,24.7,13.5,19.1,BUENOS AIRES OBSERVATORIO
325,Apr-22,22.6,13.4,18.0,AEROPARQUE AERO
1783,Apr-22,23.1,15.6,19.35,NUEVE DE JULIO
1419,Apr-22,25.6,18.8,22.200000000000003,MORON AERO
1054,Apr-22,25.5,19.2,22.35,EL PALOMAR AERO
689,Apr-22,25.7,19.5,22.6,BUENOS AIRES OBSERVATORIO
324,Apr-22,24.1,18.2,21.15,AEROPARQUE AERO
1782,Apr-22,23.3,11.1,17.2,NUEVE DE JULIO
1418,Apr-22,24.4,17.3,20.85,MORON AERO
1053,Apr-22,24.8,18.0,21.4,EL PALOMAR AERO
688,Apr-22,24.5,18.8,21.65,BUENOS AIRES OBSERVATORIO
323,Apr-22,23.3,18.3,20.8,AEROPARQUE AERO
1781,Apr-22,23.0,10.1,16.55,NUEVE DE JULIO
1417,Apr-22,25.0,12.8,18.9,MORON AERO
1052,Apr-22,25.7,11.1,18.4,EL PALOMAR AERO
687,Apr-22,25.3,13.8,19.55,BUENOS AIRES OBSERVATORIO
322,Apr-22,25.4,14.3,19.85,AEROPARQUE AERO
1780,Apr-22,15.7,7.7,11.7,NUEVE DE JULIO
1416,Apr-22,16.8,8.9,12.85,MORON AERO
1051,Apr-22,17.0,7.5,12.25,EL PALOMAR AERO
686,Apr-22,18.8,11.2,15.0,BUENOS AIRES OBSERVATORIO
321,Apr-22,18.3,11.6,14.95,AEROPARQUE AERO
1779,Apr-22,14.4,2.8,8.6,NUEVE DE JULIO
1415,Apr-22,14.3,2.2,8.25,MORON AERO
1050,Apr-22,14.9,0.3,7.6,EL PALOMAR AERO
685,Apr-22,16.1,4.6,10.35,BUENOS AIRES OBSERVATORIO
320,Apr-22,15.6,8.2,11.9,AEROPARQUE AERO
1778,Apr-22,15.1,4.3,9.7,NUEVE DE JULIO
1414,Apr-22,15.8,4.9,10.35,MORON AERO
1049,Apr-22,16.0,3.0,9.5,EL PALOMAR AERO
684,Apr-22,16.0,7.3,11.65,BUENOS AIRES OBSERVATORIO
319,Apr-22,15.1,9.7,12.4,AEROPARQUE AERO
1777,May-22,18.6,4.3,11.45,NUEVE DE JULIO
1413,May-22,18.8,5.9,12.35,MORON AERO
1048,May-22,19.0,3.4,11.2,EL PALOMAR AERO
683,May-22,20.0,7.4,13.7,BUENOS AIRES OBSERVATORIO
318,May-22,19.5,9.5,14.5,AEROPARQUE AERO
1776,May-22,14.9,4.3,9.6,NUEVE DE JULIO
1412,May-22,16.0,7.0,11.5,MORON AERO
1047,May-22,16.4,5.5,10.95,EL PALOMAR AERO
682,May-22,16.5,8.3,12.4,BUENOS AIRES OBSERVATORIO
317,May-22,16.3,10.0,13.15,AEROPARQUE AERO
1775,May-22,18.0,3.6,10.8,NUEVE DE JULIO
1411,May-22,17.6,3.0,10.3,MORON AERO
1046,May-22,18.1,2.3,10.2,EL PALOMAR AERO
681,May-22,18.1,6.0,12.05,BUENOS AIRES OBSERVATORIO
316,May-22,17.1,9.0,13.05,AEROPARQUE AERO
1774,May-22,21.6,4.6,13.1,NUEVE DE JULIO
1410,May-22,21.8,3.9,12.85,MORON AERO
1045,May-22,21.0,1.0,11.0,EL PALOMAR AERO
680,May-22,21.1,7.5,14.3,BUENOS AIRES OBSERVATORIO
315,May-22,18.6,9.8,14.2,AEROPARQUE AERO
1773,May-22,23.0,6.2,14.6,NUEVE DE JULIO
1409,May-22,22.0,8.1,15.05,MORON AERO
1044,May-22,22.4,3.0,12.7,EL PALOMAR AERO
679,May-22,22.0,9.6,15.8,BUENOS AIRES OBSERVATORIO
314,May-22,19.6,11.2,15.4,AEROPARQUE AERO
1772,May-22,25.5,7.3,16.4,NUEVE DE JULIO
1408,May-22,24.2,10.4,17.3,MORON AERO
1043,May-22,24.9,6.0,15.45,EL PALOMAR AERO
678,May-22,24.8,13.2,19.0,BUENOS AIRES OBSERVATORIO
313,May-22,22.4,13.3,17.85,AEROPARQUE AERO
1771,May-22,24.4,9.2,16.799999999999997,NUEVE DE JULIO
1407,May-22,23.8,12.5,18.15,MORON AERO
1042,May-22,24.6,7.5,16.05,EL PALOMAR AERO
677,May-22,24.2,14.7,19.45,BUENOS AIRES OBSERVATORIO
312,May-22,22.1,14.4,18.25,AEROPARQUE AERO
1770,May-22,24.1,11.7,17.9,NUEVE DE JULIO
1406,May-22,24.6,12.5,18.55,MORON AERO
1041,May-22,24.5,10.0,17.25,EL PALOMAR AERO
676,May-22,23.9,15.0,19.45,BUENOS AIRES OBSERVATORIO
311,May-22,21.9,14.8,18.35,AEROPARQUE AERO
1769,May-22,23.4,10.3,16.85,NUEVE DE JULIO
1405,May-22,22.0,8.1,15.05,MORON AERO
1040,May-22,22.0,5.3,13.65,EL PALOMAR AERO
675,May-22,22.5,11.0,16.75,BUENOS AIRES OBSERVATORIO
310,May-22,20.6,13.1,16.85,AEROPARQUE AERO
1768,May-22,20.0,9.3,14.65,NUEVE DE JULIO
1404,May-22,19.8,12.4,16.1,MORON AERO
1039,May-22,20.5,10.5,15.5,EL PALOMAR AERO
674,May-22,21.0,13.6,17.3,BUENOS AIRES OBSERVATORIO
309,May-22,20.0,14.3,17.15,AEROPARQUE AERO
1767,May-22,17.7,9.3,13.5,NUEVE DE JULIO
1403,May-22,17.5,9.7,13.6,MORON AERO
1038,May-22,17.2,8.8,13.0,EL PALOMAR AERO
673,May-22,17.6,10.5,14.05,BUENOS AIRES OBSERVATORIO
308,May-22,17.1,10.9,14.0,AEROPARQUE AERO
1766,May-22,18.5,7.0,12.75,NUEVE DE JULIO
1402,May-22,18.0,4.9,11.45,MORON AERO
1037,May-22,17.5,3.5,10.5,EL PALOMAR AERO
672,May-22,17.2,7.8,12.5,BUENOS AIRES OBSERVATORIO
307,May-22,16.5,10.1,13.3,AEROPARQUE AERO
1765,May-22,19.5,9.7,14.6,NUEVE DE JULIO
1401,May-22,19.6,10.4,15.0,MORON AERO
1036,May-22,20.0,7.8,13.9,EL PALOMAR AERO
671,May-22,19.6,11.7,15.65,BUENOS AIRES OBSERVATORIO
306,May-22,18.7,13.6,16.15,AEROPARQUE AERO
1764,May-22,17.9,4.4,11.15,NUEVE DE JULIO
1400,May-22,19.5,10.5,15.0,MORON AERO
1035,May-22,19.7,8.9,14.3,EL PALOMAR AERO
670,May-22,20.9,12.6,16.75,BUENOS AIRES OBSERVATORIO
305,May-22,19.8,13.9,16.85,AEROPARQUE AERO
1763,May-22,15.6,4.4,10.0,NUEVE DE JULIO
1399,May-22,15.2,5.2,10.2,MORON AERO
1034,May-22,15.3,3.6,9.45,EL PALOMAR AERO
669,May-22,16.7,7.8,12.25,BUENOS AIRES OBSERVATORIO
304,May-22,15.7,9.3,12.5,AEROPARQUE AERO
1762,May-22,15.9,7.3,11.6,NUEVE DE JULIO
1398,May-22,15.6,9.7,12.65,MORON AERO
1033,May-22,15.8,10.0,12.9,EL PALOMAR AERO
668,May-22,16.0,10.4,13.2,BUENOS AIRES OBSERVATORIO
303,May-22,15.8,10.4,13.1,AEROPARQUE AERO
1761,May-22,14.6,6.9,10.75,NUEVE DE JULIO
1397,May-22,15.0,8.2,11.6,MORON AERO
1032,May-22,15.0,7.8,11.4,EL PALOMAR AERO
667,May-22,14.9,9.0,11.95,BUENOS AIRES OBSERVATORIO
302,May-22,14.9,8.8,11.85,AEROPARQUE AERO
1760,May-22,13.9,6.8,10.35,NUEVE DE JULIO
1396,May-22,16.0,5.1,10.55,MORON AERO
1031,May-22,15.8,6.5,11.15,EL PALOMAR AERO
666,May-22,16.5,8.2,12.35,BUENOS AIRES OBSERVATORIO
301,May-22,15.8,8.9,12.35,AEROPARQUE AERO
1759,May-22,16.4,1.5,8.95,NUEVE DE JULIO
1395,May-22,16.3,2.0,9.15,MORON AERO
1030,May-22,16.5,0.0,8.25,EL PALOMAR AERO
665,May-22,16.6,5.0,10.8,BUENOS AIRES OBSERVATORIO
300,May-22,14.5,7.8,11.15,AEROPARQUE AERO
1758,May-22,20.1,3.2,11.65,NUEVE DE JULIO
1394,May-22,19.5,5.9,12.7,MORON AERO
1029,May-22,19.0,1.4,10.2,EL PALOMAR AERO
664,May-22,19.5,7.8,13.65,BUENOS AIRES OBSERVATORIO
299,May-22,17.8,8.2,13.0,AEROPARQUE AERO
1757,May-22,22.0,6.1,14.05,NUEVE DE JULIO
1393,May-22,21.6,9.7,15.65,MORON AERO
1028,May-22,22.0,7.2,14.6,EL PALOMAR AERO
663,May-22,23.1,11.6,17.35,BUENOS AIRES OBSERVATORIO
298,May-22,21.1,11.8,16.450000000000003,AEROPARQUE AERO
1756,May-22,21.5,4.7,13.1,NUEVE DE JULIO
1392,May-22,21.6,5.9,13.75,MORON AERO
1027,May-22,21.0,1.7,11.35,EL PALOMAR AERO
662,May-22,20.2,9.2,14.7,BUENOS AIRES OBSERVATORIO
297,May-22,18.1,10.1,14.1,AEROPARQUE AERO
1755,May-22,18.8,9.1,13.95,NUEVE DE JULIO
1391,May-22,21.5,9.5,15.5,MORON AERO
1026,May-22,22.0,4.5,13.25,EL PALOMAR AERO
661,May-22,21.0,10.6,15.8,BUENOS AIRES OBSERVATORIO
296,May-22,17.9,12.2,15.05,AEROPARQUE AERO
1754,May-22,14.6,8.9,11.75,NUEVE DE JULIO
1390,May-22,20.6,12.9,16.75,MORON AERO
1025,May-22,21.2,11.4,16.3,EL PALOMAR AERO
660,May-22,21.3,13.8,17.55,BUENOS AIRES OBSERVATORIO
295,May-22,20.5,13.1,16.8,AEROPARQUE AERO
1753,May-22,12.2,7.9,10.05,NUEVE DE JULIO
1389,May-22,13.2,8.1,10.65,MORON AERO
1024,May-22,13.6,7.4,10.5,EL PALOMAR AERO
659,May-22,14.4,9.2,11.8,BUENOS AIRES OBSERVATORIO
294,May-22,15.0,9.6,12.3,AEROPARQUE AERO
1752,May-22,13.5,2.2,7.85,NUEVE DE JULIO
1388,May-22,14.0,4.0,9.0,MORON AERO
1023,May-22,14.0,3.1,8.55,EL PALOMAR AERO
658,May-22,15.3,5.4,10.35,BUENOS AIRES OBSERVATORIO
293,May-22,13.8,7.4,10.6,AEROPARQUE AERO
1751,May-22,15.1,4.8,9.95,NUEVE DE JULIO
1387,May-22,15.6,4.9,10.25,MORON AERO
1022,May-22,16.0,4.4,10.2,EL PALOMAR AERO
657,May-22,16.8,7.9,12.35,BUENOS AIRES OBSERVATORIO
292,May-22,15.1,10.1,12.6,AEROPARQUE AERO
1750,May-22,14.8,7.1,10.95,NUEVE DE JULIO
1386,May-22,15.2,5.7,10.45,MORON AERO
1021,May-22,14.5,4.2,9.35,EL PALOMAR AERO
656,May-22,14.5,8.4,11.45,BUENOS AIRES OBSERVATORIO
291,May-22,13.1,10.2,11.65,AEROPARQUE AERO
1749,May-22,12.0,1.0,6.5,NUEVE DE JULIO
1385,May-22,11.4,3.8,7.6,MORON AERO
1020,May-22,12.0,3.0,7.5,EL PALOMAR AERO
655,May-22,12.5,6.2,9.35,BUENOS AIRES OBSERVATORIO
290,May-22,12.4,6.4,9.4,AEROPARQUE AERO
1748,May-22,12.2,-0.8,5.699999999999999,NUEVE DE JULIO
1384,May-22,11.5,0.5,6.0,MORON AERO
1019,May-22,11.9,-1.4,5.25,EL PALOMAR AERO
654,May-22,13.2,2.5,7.85,BUENOS AIRES OBSERVATORIO
289,May-22,12.4,4.1,8.25,AEROPARQUE AERO
1747,May-22,12.8,-1.5,5.65,NUEVE DE JULIO
1383,May-22,12.0,-1.1,5.45,MORON AERO
1018,May-22,12.0,-4.7,3.65,EL PALOMAR AERO
653,May-22,12.8,1.2,7.0,BUENOS AIRES OBSERVATORIO
288,May-22,12.5,4.4,8.45,AEROPARQUE AERO
1746,Jun-22,13.9,3.3,8.6,NUEVE DE JULIO
1382,Jun-22,13.4,-0.6,6.4,MORON AERO
1017,Jun-22,13.9,-1.6,6.15,EL PALOMAR AERO
652,Jun-22,14.9,3.0,8.95,BUENOS AIRES OBSERVATORIO
287,Jun-22,13.2,5.3,9.25,AEROPARQUE AERO
1745,Jun-22,14.2,0.6,7.399999999999999,NUEVE DE JULIO
1381,Jun-22,13.2,-1.1,6.05,MORON AERO
1016,Jun-22,13.5,-3.4,5.05,EL PALOMAR AERO
651,Jun-22,14.6,1.7,8.15,BUENOS AIRES OBSERVATORIO
286,Jun-22,12.2,5.5,8.85,AEROPARQUE AERO
1744,Jun-22,13.6,0.8,7.2,NUEVE DE JULIO
1380,Jun-22,12.5,0.0,6.25,MORON AERO
1015,Jun-22,12.4,-3.0,4.7,EL PALOMAR AERO
650,Jun-22,12.2,3.6,7.899999999999999,BUENOS AIRES OBSERVATORIO
285,Jun-22,11.9,7.3,9.6,AEROPARQUE AERO
1743,Jun-22,14.2,3.6,8.9,NUEVE DE JULIO
1379,Jun-22,15.7,7.7,11.7,MORON AERO
1014,Jun-22,16.0,8.8,12.4,EL PALOMAR AERO
649,Jun-22,16.0,9.7,12.85,BUENOS AIRES OBSERVATORIO
284,Jun-22,15.1,9.2,12.15,AEROPARQUE AERO
1742,Jun-22,15.3,1.3,8.3,NUEVE DE JULIO
1378,Jun-22,15.2,3.4,9.3,MORON AERO
1013,Jun-22,15.3,2.0,8.65,EL PALOMAR AERO
648,Jun-22,15.3,7.8,11.55,BUENOS AIRES OBSERVATORIO
283,Jun-22,14.8,9.1,11.95,AEROPARQUE AERO
1741,Jun-22,18.9,2.3,10.6,NUEVE DE JULIO
1377,Jun-22,16.3,3.9,10.1,MORON AERO
1012,Jun-22,16.9,2.0,9.45,EL PALOMAR AERO
647,Jun-22,17.3,7.1,12.2,BUENOS AIRES OBSERVATORIO
282,Jun-22,13.5,8.8,11.15,AEROPARQUE AERO
1740,Jun-22,18.0,4.5,11.25,NUEVE DE JULIO
1376,Jun-22,15.0,7.2,11.1,MORON AERO
1011,Jun-22,14.7,7.3,11.0,EL PALOMAR AERO
646,Jun-22,14.5,8.5,11.5,BUENOS AIRES OBSERVATORIO
281,Jun-22,11.5,7.3,9.4,AEROPARQUE AERO
1739,Jun-22,10.2,3.8,7.0,NUEVE DE JULIO
1375,Jun-22,14.2,6.4,10.3,MORON AERO
1010,Jun-22,16.3,6.8,11.55,EL PALOMAR AERO
645,Jun-22,15.2,7.2,11.2,BUENOS AIRES OBSERVATORIO
280,Jun-22,11.6,7.3,9.45,AEROPARQUE AERO
1738,Jun-22,16.7,6.4,11.55,NUEVE DE JULIO
1374,Jun-22,15.2,6.3,10.75,MORON AERO
1009,Jun-22,15.5,6.8,11.15,EL PALOMAR AERO
644,Jun-22,16.3,7.3,11.8,BUENOS AIRES OBSERVATORIO
279,Jun-22,16.1,8.3,12.2,AEROPARQUE AERO
